iter	Passed	Remaining
402	11686	17312
403	11715	17282
404	11744	17254
405	11773	17224
406	11802	17196
407	11832	17169
408	11851	17125
409	11866	17076
410	11895	17047
411	11924	17018
412	11954	16991
413	11986	16966
414	12020	16943
415	12053	16921
416	12083	16893
417	12114	16867
418	12143	16838
419	12173	16810
420	12201	16780
421	12231	16753
422	12261	16725
423	12290	16696
424	12320	16668
425	12350	16641
426	12380	16613
427	12407	16582
428	12435	16552
429	12464	16522
430	12493	16493
431	12521	16463
432	12549	16433
433	12579	16405
434	12608	16377
435	12636	16346
436	12666	16319
437	12698	16293
438	12720	16255
439	12748	16225
440	12776	16195
441	12804	16164
442	12819	16117
443	12848	16089
444	12876	16059
445	12905	16031
446	12933	16001
447	12962	15972
448	12991	15943
449	13020	15913
450	13049	15884
451	13077	15854
452	13105	15825
453	13135	15796
454	13150	15751
455	13178	15721
456	13206	15691
457	13236	15663
458	13265	15635
459	13294	15606
460	13325	15579
461	13354	15550
462	13369	15506
463	13397	15476
464	13427	15449
465	13457	15420
466	13485	15391
467	13514	15363
468	13543	15333
469	13565	15296
470	13595	15269
471	13623	15240
472	13652	15210
473	13679	15180
474	13707	15150
475	13736	15122
476	13767	15094
477	13782	15051
478	13810	15021
479	13839	14992
480	13870	14966
481	13900	14938
482	13929	14909
483	13956	14879
484	13984	14849
485	14014	14822
486	14044	14794
487	14072	14764
488	14100	14734
489	14122	14698
490	14151	14669
491	14179	14640
492	14209	14612
493	14279	14626
494	14310	14599
495	14339	14570
496	14369	14542
497	14398	14513
498	14429	14486
499	14457	14457
500	14487	14430
501	14516	14400
502	14546	14372
503	14574	14343
504	14608	14318
505	14623	14277
506	14654	14249
507	14682	14220
508	14713	14193
509	14745	14167
510	14773	14137
511	14802	14108
512	14817	14066
513	14847	14038
514	14875	14009
515	14898	13974
516	14927	13945
517	14957	13917
518	14972	13876
519	14993	13840
520	15020	13809
521	15048	13779
522	15076	13750
523	15106	13722
524	15135	13694
525	15165	13666
526	15194	13637
527	15221	13607
528	15251	13579
529	15281	13551
530	15315	13527
531	15349	13503
532	15378	13474
533	15406	13444
534	15436	13416
535	15465	13388
536	15495	13360
537	15525	13331
538	15553	13302
539	15582	13273
540	15612	13245
541	15640	13216
542	15669	13188
543	15697	13158
544	15726	13129
545	15756	13101
546	15777	13066
547	15805	13036
548	15834	13007
549	15863	12979
550	15885	12945
551	15914	12915
552	15937	12882
553	15969	12856
554	15999	12828
555	16030	12801
556	16058	12771
557	16086	12742
558	16100	12702
559	16130	12674
560	16157	12644
561	16187	12615
562	16216	12587
563	16245	12558
564	16274	12529
565	16303	12501
566	16333	12473
567	16362	12444
568	16391	12416
569	16420	12387
570	16448	12358
571	16478	12329
572	16500	12296
573	16528	12266
574	16556	12237
575	16584	12208
576	16612	12178
577	16627	12139
578	16656	12111
579	16685	12082
580	16714	12053
581	16742	12024
582	16771	11995
583	16800	11967
584	16827	11937
585	16856	11908
586	16887	11881
587	16909	11847
588	16938	11819
589	16968	11791
590	16983	11753
591	17012	11724
592	17040	11695
593	17073	11669
594	17101	11640
595	17130	11611
596	17165	11587
597	17194	11558
598	17221	11529
599	17249	11499
600	17270	11465
601	17298	11436
602	17327	11408
603	17356	11379
604	17385	11351
605	17414	11322
606	17445	11294
607	17474	11266
608	17503	11237
609	17531	11208
610	17559	11179
611	17589	11151
612	17620	11124
613	17654	11098
614	17691	11075
615	17719	11045
616	17748	11017
617	17778	10989
618	17787	10948
619	17801	10910
620	17828	10881
621	17856	10851
622	17886	10823
623	17915	10795
624	17931	10758
625	17959	10729
626	17986	10700
627	18015	10671
628	18042	10642
629	18063	10608
630	18091	10579
631	18119	10550
