iter	Logloss
0	0.6877712155
1	0.6831958537
2	0.677635942
3	0.671594283
4	0.6656458012
5	0.6606882457
6	0.655412183
7	0.6504343951
8	0.6452056887
9	0.6405562455
10	0.6359195989
11	0.6315583047
12	0.6271911036
13	0.6229052569
14	0.6185844303
15	0.6145671986
16	0.6101950146
17	0.6063538048
18	0.6027578315
19	0.5986546437
20	0.5942618713
21	0.5902110188
22	0.5861708792
23	0.5825291132
24	0.5786838294
25	0.5750519956
26	0.571165933
27	0.5676421725
28	0.5644089656
29	0.5610977922
30	0.5580743074
31	0.5548750781
32	0.5517907472
33	0.548839956
34	0.545992022
35	0.5432577447
36	0.5403121357
37	0.5377110622
38	0.5352376293
39	0.532690212
40	0.5300399274
41	0.5277760646
42	0.5253822148
43	0.523396071
44	0.5212933976
45	0.5191924818
46	0.5172519278
47	0.5151538221
48	0.5129576104
49	0.511251548
50	0.5093568371
51	0.507479896
52	0.5056592228
53	0.5036332476
54	0.5019657712
55	0.5002842409
56	0.4987276299
57	0.4970446788
58	0.4953146372
59	0.4937928214
60	0.4921210774
61	0.4904724784
62	0.4889528234
63	0.4878035922
64	0.4861717799
65	0.4848593784
66	0.4835672458
67	0.4824579754
68	0.4811299098
69	0.4797593822
70	0.4787309896
71	0.4774484942
72	0.4761990275
73	0.4750865982
74	0.4741309402
75	0.4728801264
76	0.4719351142
77	0.47089347
78	0.4699265923
79	0.4688950276
80	0.467952401
81	0.4669597792
82	0.4659335627
83	0.4650227336
84	0.464087084
85	0.4632728697
86	0.4622992333
87	0.4613810365
88	0.4605686823
89	0.4596443495
90	0.458930105
91	0.4581785063
92	0.4574132463
93	0.4566178498
94	0.4558999786
95	0.4551020943
96	0.4543652153
97	0.4536066554
98	0.4528895809
99	0.4521460149
100	0.4514434444
101	0.4507736243
102	0.4502302596
103	0.4496481503
104	0.4489771609
105	0.4484217081
106	0.4480169521
107	0.4475097861
108	0.4470057127
109	0.4463999457
110	0.4458816073
111	0.4453810051
112	0.4448273425
113	0.444285296
114	0.4440220495
115	0.4435139883
116	0.4430235826
117	0.4425224722
118	0.4420333066
119	0.441544117
120	0.4411046551
121	0.440680577
122	0.4401836094
123	0.4398794072
124	0.4394629857
125	0.4390303802
126	0.4386809599
127	0.4382866516
128	0.4378402764
129	0.4374343918
130	0.4370138577
131	0.4366450168
132	0.4363108374
133	0.4359050919
134	0.4355299861
135	0.4351747551
136	0.4347964662
137	0.4344804277
138	0.4340789299
139	0.4337533728
140	0.4334726308
141	0.4331330651
142	0.4327868232
143	0.4324138085
144	0.4322029998
145	0.431993156
146	0.4316839585
147	0.431371448
148	0.4310705069
149	0.4308037817
150	0.4305126751
151	0.4302588812
152	0.4299775546
153	0.4296810455
154	0.4294179585
155	0.4291849628
156	0.4288851382
157	0.4286193631
158	0.4283814374
159	0.4281471102
160	0.4279010503
161	0.4277158711
162	0.4275030724
163	0.4272306255
164	0.426961842
165	0.426735466
166	0.4265660103
167	0.4263675059
168	0.4261841801
169	0.4260039942
170	0.4258269717
171	0.4256689385
172	0.4254425118
173	0.4252783209
174	0.425007153
175	0.4248008303
176	0.4245988631
177	0.4245301288
178	0.424361512
179	0.4241059226
180	0.4239132459
181	0.4237284345
182	0.4235392254
183	0.423397713
184	0.4231505871
185	0.4229497149
186	0.4227801333
187	0.4225880441
188	0.422366845
189	0.4221888832
190	0.4220597517
191	0.4219774507
192	0.4218105619
193	0.4216716443
194	0.4215881742
195	0.4213699424
196	0.4212200456
197	0.4210677448
198	0.4208926267
199	0.4207353135
200	0.420552243
201	0.4204122904
202	0.4202638167
203	0.4201728501
204	0.4200987197
205	0.4199339729
206	0.4197849887
207	0.4196665026
208	0.419512028
209	0.4193664238
210	0.419220811
211	0.4190557278
212	0.4188848114
213	0.4188076413
214	0.4186589892
215	0.4185615742
216	0.4183778895
217	0.4182803036
218	0.4181256802
219	0.4180307904
220	0.4178265716
221	0.4177065669
222	0.4176619221
223	0.4174908701
224	0.4173572913
225	0.4172004122
226	0.4171055599
227	0.416996775
228	0.4168395038
229	0.4167141027
230	0.4166013709
231	0.4164969974
232	0.4164524763
233	0.4163373545
234	0.4162262896
235	0.4161151763
236	0.4160175999
237	0.4159306602
238	0.4158256131
239	0.4156797388
240	0.4155557084
241	0.4154337839
242	0.4153049638
243	0.4151709036
244	0.4150494146
245	0.4149458289
246	0.4148245658
247	0.4147064921
248	0.414552519
249	0.4144289317
250	0.4142557427
251	0.414149976
252	0.4140722865
253	0.4139510681
254	0.4138770898
255	0.4138083572
256	0.4137143515
257	0.4135753387
258	0.413476065
259	0.4134164363
260	0.4133507369
261	0.4132341451
262	0.4131136823
263	0.4130430066
264	0.4129083669
265	0.4128419768
266	0.4127907793
267	0.4127198372
268	0.4126378733
269	0.412523068
270	0.4124421174
271	0.4123697232
272	0.4122875898
273	0.4122591279
274	0.4121992737
275	0.4120801096
276	0.4119471582
277	0.4118775311
278	0.4117821522
279	0.4117406601
280	0.4116534116
281	0.4116061951
282	0.4115827007
283	0.411520729
284	0.4114643454
285	0.4113697948
286	0.4113384913
287	0.4112644714
288	0.4112015337
289	0.4111068601
290	0.4110247168
291	0.4109478501
292	0.4109390937
293	0.4108563999
294	0.410782773
295	0.4107007399
296	0.4106606782
297	0.4105801132
298	0.4104945707
299	0.4104490752
300	0.4103935506
301	0.4103719301
302	0.4103104534
303	0.4102202902
304	0.4101345065
305	0.4100766532
306	0.4099919258
307	0.4099413754
308	0.4098559154
309	0.4098455008
310	0.4097766903
311	0.409711512
312	0.4096488734
313	0.409621923
314	0.4095714995
315	0.4095016857
316	0.4094686128
317	0.4094234618
318	0.4093599936
319	0.4093277539
320	0.4092701874
321	0.4091701754
322	0.4090985928
323	0.4090353728
324	0.4089703843
325	0.4088449811
326	0.4087690016
327	0.4087278122
328	0.4086927752
329	0.408683161
330	0.4086267487
331	0.4085601036
332	0.4084957693
333	0.4084787521
334	0.4084303324
335	0.4084036554
336	0.4083219844
337	0.4082521827
338	0.4081864554
339	0.4081091203
340	0.4080299921
341	0.4079897225
342	0.4079546164
343	0.4078860058
344	0.4078554643
345	0.4078099983
346	0.4077663546
347	0.4077165796
348	0.4076396583
349	0.4075822127
350	0.4075640668
351	0.4075086653
352	0.4074490253
353	0.4074001658
354	0.4073672632
355	0.4073268539
356	0.4072921766
357	0.4072378378
358	0.4072197509
359	0.4071734004
360	0.4071430736
361	0.407105609
362	0.4070580642
363	0.4070237994
364	0.4069790137
365	0.4069119531
366	0.4068520604
367	0.4067909793
368	0.4067479527
369	0.4067084601
370	0.4066618178
371	0.4066100806
372	0.4065757583
373	0.4065213768
374	0.4064496083
375	0.4063673633
376	0.4063082991
377	0.4062882346
378	0.4062411519
379	0.4062284358
380	0.4061844523
381	0.4061442461
382	0.4060952327
383	0.406089489
384	0.4060629658
385	0.406049559
386	0.4059717193
387	0.4059185536
388	0.4058752501
389	0.4058403597
390	0.4058159113
391	0.4057669931
392	0.4057416261
393	0.4056882712
394	0.405629828
395	0.405607915
396	0.4055991452
397	0.4055387937
398	0.405507616
399	0.405448298
400	0.4054234732
401	0.4053969431
402	0.4053404815
403	0.4053209653
404	0.4052985933
405	0.405274353
406	0.4052315449
407	0.4051936668
408	0.4051682426
409	0.4051514417
410	0.4051210864
411	0.4050855291
412	0.4050690737
413	0.405029811
414	0.4049720814
415	0.4049388372
416	0.4048985037
417	0.4048421945
418	0.4047849584
419	0.4047527539
420	0.4047470882
421	0.4046982951
422	0.404644373
423	0.4045712153
424	0.4045220278
425	0.4044872467
426	0.40446398
427	0.4044162118
428	0.4043610533
429	0.40432631
430	0.4042791766
431	0.4042712354
432	0.4042420631
433	0.4042059932
434	0.4041653012
435	0.4041449284
436	0.4041009791
437	0.404049063
438	0.4040401232
439	0.4039822672
440	0.4039660868
441	0.403922411
442	0.403915709
443	0.4039112113
444	0.4038832075
445	0.4038261108
446	0.4037926904
447	0.4037790297
448	0.4037559338
449	0.4037179359
450	0.403681199
451	0.4036570649
452	0.4036107124
453	0.4035905409
454	0.4035899628
455	0.4035643804
456	0.4035461957
457	0.4034908863
458	0.4034445079
459	0.4034039829
460	0.4033889752
461	0.4033693714
462	0.4033642324
463	0.4033280965
464	0.4033052954
465	0.4032828664
466	0.4032479809
467	0.4032160701
468	0.4032041129
469	0.4031712596
470	0.4031402901
471	0.4030989733
472	0.4030484075
473	0.403014853
474	0.4029694813
475	0.4029348332
476	0.4029107803
477	0.4029102475
478	0.4028620611
479	0.402814175
480	0.4027850197
481	0.4027529087
482	0.4027240941
483	0.4026949719
484	0.4026729706
485	0.4026273201
486	0.4026153779
487	0.4025639229
488	0.4025559867
489	0.4025413846
490	0.4025259657
491	0.4025037615
492	0.4024592104
493	0.4023960132
494	0.4023584171
495	0.4023430261
496	0.4023020819
497	0.402278826
498	0.402262686
499	0.4022126253
500	0.4021889837
501	0.4021713511
502	0.402141063
503	0.4021377861
504	0.4020963826
505	0.4020896347
506	0.4020509913
507	0.4020477053
508	0.4020191001
509	0.4019971195
510	0.4019584598
511	0.401907747
512	0.4019004749
513	0.401861395
514	0.4018496733
515	0.401831077
516	0.4018003836
517	0.4017733637
518	0.4017722044
519	0.4017652528
520	0.4017396484
521	0.4017361043
522	0.4017109057
523	0.4016719612
524	0.4016505133
525	0.401632854
526	0.401621295
527	0.4015844176
528	0.4015459867
529	0.4015090655
530	0.4014676318
531	0.4014256223
532	0.4013997669
533	0.401354886
534	0.4013350201
535	0.401316995
536	0.4012841308
537	0.401264441
538	0.4012433623
539	0.4012261002
540	0.4011926009
541	0.4011662639
542	0.4011459234
543	0.4011319508
544	0.4011065621
545	0.4010920468
546	0.4010909798
547	0.401072599
548	0.4010370769
549	0.4010058543
550	0.4010001551
551	0.4009886219
552	0.400961368
553	0.4009510507
554	0.400933075
555	0.4009171561
556	0.4008851184
557	0.4008678927
558	0.4008561423
559	0.400826516
560	0.4008078753
561	0.4007533538
562	0.4007450311
563	0.4007099609
564	0.4007001709
565	0.4006875997
566	0.4006732119
567	0.4006258011
568	0.4005903479
569	0.4005444057
570	0.4005242775
571	0.4005091158
572	0.4004922059
573	0.4004816635
574	0.4004556793
575	0.4004229463
576	0.4003986041
577	0.4003985963
578	0.4003592212
579	0.4003277422
580	0.4002796324
581	0.4002764347
582	0.4002588081
583	0.4002423427
584	0.4002130429
585	0.4001954979
586	0.4001799888
587	0.400176605
588	0.400138835
589	0.4001295802
590	0.4001259756
591	0.4001057391
592	0.4000824168
593	0.4000511995
594	0.4000361242
595	0.3999929173
596	0.3999697711
597	0.3999386792
598	0.399921675
599	0.3998981966
600	0.3998902934
601	0.3998804781
602	0.3998494256
603	0.3998383884
604	0.3998236725
605	0.3997871601
606	0.3997764321
607	0.3997595659
608	0.3997482232
609	0.3997235876
610	0.399702706
611	0.3996742174
612	0.3996574782
613	0.3996379027
614	0.3996153634
615	0.3995958004
616	0.3995682204
617	0.3995418757
618	0.3995418717
619	0.3995323578
620	0.3995085178
621	0.3994992116
622	0.3994653055
623	0.3994342729
624	0.3994341622
625	0.3993897166
626	0.3993820907
627	0.3993593497
628	0.3993405069
629	0.3993303557
630	0.3993088005
631	0.399283741
632	0.3992734939
633	0.3992499523
634	0.3992431841
635	0.399218915
636	0.3992083377
637	0.3992052835
638	0.3991987103
639	0.3991607185
640	0.3991349577
641	0.399114704
642	0.3990886779
643	0.3990598197
644	0.3990260221
645	0.3990185238
646	0.3990140585
647	0.3990046258
648	0.3989517584
649	0.3989139005
650	0.3988827574
651	0.3988621028
652	0.3988387556
653	0.3988221432
654	0.3988194339
655	0.3988149454
656	0.3987928352
657	0.3987753597
658	0.3987705585
659	0.398755285
660	0.3987233977
661	0.3987233961
662	0.3987048764
663	0.3986928778
664	0.3986893892
665	0.3986758943
666	0.3986754305
667	0.3986625245
668	0.3986398871
669	0.3986184688
670	0.3986088396
671	0.3985958326
672	0.3985681767
673	0.3985635469
674	0.3985475353
675	0.3985373211
676	0.3985302619
677	0.3985114797
678	0.3984804476
679	0.3984585203
680	0.3984455265
681	0.3984205759
682	0.3984167096
683	0.3984163106
684	0.398387337
685	0.3983685838
686	0.3983315294
687	0.3983105787
688	0.398289056
689	0.3982269734
690	0.3982084205
691	0.3982003603
692	0.3981641672
693	0.3981514428
694	0.398151227
695	0.3981255588
696	0.3981206125
697	0.3981114655
698	0.3980937814
699	0.3980824259
700	0.3980574034
701	0.3980505885
702	0.3980204544
703	0.3980105036
704	0.3980062059
705	0.3979828783
706	0.3979687652
707	0.3979400598
708	0.3979086802
709	0.397891418
710	0.3978847108
711	0.3978671819
712	0.3978310783
713	0.397800174
714	0.3977983458
715	0.3977867017
716	0.397775704
717	0.3977682212
718	0.3977646347
719	0.3977569943
720	0.3977519606
721	0.3977370896
722	0.3977115025
723	0.3976943465
724	0.3976834469
725	0.3976675501
726	0.397646874
727	0.3976426787
728	0.3976300521
729	0.3976300506
730	0.3976126658
731	0.3975895009
732	0.3975790558
733	0.3975543267
734	0.3975374475
735	0.397521529
736	0.3975153809
737	0.3974635832
738	0.3974618005
739	0.397453663
740	0.3974479378
741	0.3974077989
742	0.3973757074
743	0.3973725229
744	0.3973633144
745	0.3973504688
746	0.3973319087
747	0.3973187669
748	0.3973063929
749	0.3973060107
750	0.3972972311
751	0.3972691002
752	0.3972121394
753	0.3971890565
754	0.3971560316
755	0.3971376798
756	0.3970986715
757	0.3970859782
758	0.3970607398
759	0.3970409798
760	0.3970124301
761	0.3969887466
762	0.3969693949
763	0.3969389046
764	0.3969114967
765	0.3968445782
766	0.3968323667
767	0.3968058635
768	0.3967917823
769	0.3967705281
770	0.3967534911
771	0.3967411104
772	0.3967320941
773	0.3967202264
774	0.3966956953
775	0.3966816989
776	0.3966573108
777	0.396637123
